takilman,"	takilmen
"
wrongfulness,"	wrongfulnesses
"
atrocity,"	atrocities
"
bombax,"	bombaxes
"
lamedh,"	lamedhs
"
toxicant,"	toxicants
"
immenseness,"	immensenesses
"
spotlessness,"	spotlessnesses
"
mayst,"	maysts
"
pass,"	passes
"
diversify,"	diversifies
"
vinegarishness,"	vinegarishnesses
"
freemasonry,"	freemasonries
"
memorandum,"	memoranda
"
artistry,"	artistries
"
injunction,"	injunctions
"
jambeau,"	jambeaux
"
oology,"	oologies
"
troubler,"	troublers
"
bryozoan,"	bryozoans
"
hydric,"	hydrics
"
neurobiology,"	neurobiologies
"
hipless,"	hiplesses
"
wishfulness,"	wishfulnesses
"
hitman,"	hitmen
"
inactivity,"	inactivities
"
buttercrunch,"	buttercrunches
"
ropy,"	ropies
"
radiopacity,"	radiopacities
"
filariasis,"	filariases
"
sentiment,"	sentiments
"
corydalidae,"	corydalidaes
"
communization,"	communizations
"
unresponsiveness,"	unresponsivenesses
"
turgidity,"	turgidities
"
indefinity,"	indefinities
"
phenomenology,"	phenomenologies
"
institution,"	institutions
"
internality,"	internalities
"
comparability,"	comparabilities
"
alkalinity,"	alkalinities
"
crunch,"	crunches
"
gymnadeniopsis,"	gymnadeniopses
"
hidrosis,"	hidroses
"
groundberry,"	groundberries
"
honesty,"	honesties
"
ethnocentrism,"	ethnocentrisms
"
scotchwoman,"	scotchwomen
"
felicity,"	felicities
"
venue,"	venues
"
cathexis,"	cathexes
"
juvenility,"	juvenilities
"
ellipsis,"	ellipses
"
zoology,"	zoologies
"
lameness,"	lamenesses
"
colicky,"	colickies
"
perniciousness,"	perniciousnesses
"
bitch,"	bitches
"
dermatosis,"	dermatoses
"
armillariella,"	armillariellas
"
impenetrableness,"	impenetrablenesses
"
horrify,"	horrifies
"
eyelessness,"	eyelessnesses
"
morrow,"	morrows
"
revery,"	reveries
"
earliness,"	earlinesses
"
trickery,"	trickeries
"
dispatch,"	dispatches
"
molarity,"	molarities
"
convallaria,"	convallarias
"
chevy,"	chevies
"
stationery,"	stationeries
"
countess,"	countesses
"
countryman,"	countrymen
"
lymphography,"	lymphographies
"
splayfoot,"	splayfeet
"
adrs,"	adrss
"
browntail,"	browntails
"
dalesman,"	dalesmen
"
oocyte,"	oocytes
"
concomitant,"	concomitants
"
standby,"	standbies
"
logarithm,"	logarithms
"
hickory,"	hickories
"
waymar,"	waymars
"
disgracefulness,"	disgracefulnesses
"
tuberosity,"	tuberosities
"
bagel,"	bagels
"
affability,"	affabilities
"
domesticise,"	domesticises
"
inefficaciousness,"	inefficaciousnesses
"
okenfuss,"	okenfusses
"
misadventure,"	misadventures
"
coumarone,"	coumarones
"
ketoacidosis,"	ketoacidoses
"
sidearm,"	sidearms
"
choiceness,"	choicenesses
"
wizardry,"	wizardries
"
interrogatory,"	interrogatories
"
verbalizer,"	verbalizers
"
dignify,"	dignifies
"
curtainless,"	curtainlesses
"
dominatrix,"	dominatrices
"
tithe,"	tithes
"
outdoorsy,"	outdoorsies
"
cultism,"	cultisms
"
investment,"	investments
"
antithesis,"	antitheses
"
irreality,"	irrealities
"
donate,"	donates
"
entity,"	entities
"
lagothrix,"	lagothrixes
"
luxuriousness,"	luxuriousnesses
"
grozny,"	groznies
"
camaraderie,"	camaraderies
"
confectioner,"	confectioners
"
agriculturist,"	agriculturists
"
resistivity,"	resistivities
"
buxomness,"	buxomnesses
"
oxidizer,"	oxidizers
"
bureaucrat,"	bureaucrats
"
publicity,"	publicities
"
mcg,"	mcgs
"
matrix,"	matrices
"
dosimetry,"	dosimetries
"
lycanthropy,"	lycanthropies
"
assemblyman,"	assemblymen
"
declutch,"	declutches
"
shamefulness,"	shamefulnesses
"
remiss,"	remisses
"
bulghur,"	bulghurs
"
roofy,"	roofies
"
ex,"	exes
"
anaglyphy,"	anaglyphies
"
stemmatology,"	stemmatologies
"
thunbergia,"	thunbergias
"
hydrophobicity,"	hydrophobicities
"
pedicle,"	pedicles
"
profuseness,"	profusenesses
"
immunotherapy,"	immunotherapies
"
radius,"	radii
"
plavix,"	plavixes
"
reciprocatory,"	reciprocatories
"
roly,"	rolies
"
deviousness,"	deviousnesses
"
packthread,"	packthreads
"
disconsolateness,"	disconsolatenesses
"
busyness,"	busynesses
"
trespass,"	trespasses
"
opacify,"	opacifies
"
mercy,"	mercies
"
extremism,"	extremisms
"
circumscription,"	circumscriptions
"
bacterioid,"	bacterioids
"
leptospirosis,"	leptospiroses
"
calender,"	calenders
"
drummer,"	drummers
"
comedy,"	comedies
"
turbidness,"	turbidnesses
"
trichinosis,"	trichinoses
"
fritter,"	fritters
"
incompatibility,"	incompatibilities
"
heterosis,"	heteroses
"
devotedness,"	devotednesses
"
pleopod,"	pleopods
"
steeply,"	steeplies
"
skanky,"	skankies
"
retrogress,"	retrogresses
"
subsidiarity,"	subsidiarities
"
boat,"	boats
"
awfulness,"	awfulnesses
"
stitchery,"	stitcheries
"
inexperience,"	inexperiences
"
paraleipsis,"	paraleipses
"
sentiency,"	sentiencies
"
rapidity,"	rapidities
"
chlamydia,"	chlamydias
"
bolshie,"	bolshies
"
comradery,"	comraderies
"
wire,"	wires
"
pruriency,"	pruriencies
"
hobbledehoy,"	hobbledehoys
"
multiply,"	multiplies
"
tonometry,"	tonometries
"
decompress,"	decompresses
"
monocotyledonae,"	monocotyledonaes
"
paternity,"	paternities
"
ectomorphy,"	ectomorphies
"
frogmarch,"	frogmarches
"
panicle,"	panicles
"
biodiversity,"	biodiversities
"
rating,"	ratings
"
irrepressibility,"	irrepressibilities
"
hopelessness,"	hopelessnesses
"
copepod,"	copepods
"
romanticization,"	romanticizations
"
knottiness,"	knottinesses
"
amass,"	amasses
"
covalency,"	covalencies
"
hydrography,"	hydrographies
"
crampon,"	crampons
"
colorlessness,"	colorlessnesses
"
lubeck,"	lubecks
"
softy,"	softies
"
backstitch,"	backstitches
"
polysomy,"	polysomies
"
vestrywoman,"	vestrywomen
"
cadge,"	cadges
"
shy,"	shies
"
elevation,"	elevations
"
numerousness,"	numerousnesses
"
mitosis,"	mitoses
"
climatology,"	climatologies
"
pollinosis,"	pollinoses
"
pox,"	pox
"
catechesis,"	catecheses
"
absorbency,"	absorbencies
"
humidness,"	humidnesses
"
rectangularity,"	rectangularities
"
bread,"	bread
"
culdoscopy,"	culdoscopies
"
indigestibleness,"	indigestiblenesses
"
artificiality,"	artificialities
"
enamoredness,"	enamorednesses
"
sadder,"	sadders
"
anesthesiologist,"	anesthesiologists
"
jinx,"	jinges
"
chasteness,"	chastenesses
"
whaleman,"	whalemen
"
cucumis,"	cucumiss
"
stronach,"	stronaches
"
haply,"	haplies
"
inconvertibility,"	inconvertibilities
"
pigman,"	pigmen
"
cmb,"	cmbs
"
manageableness,"	manageablenesses
"
entirety,"	entireties
"
burdenless,"	burdenlesses
"
arraignment,"	arraignments
"
stereophony,"	stereophonies
"
numerology,"	numerologies
"
normalcy,"	normalcies
"
dramatization,"	dramatizations
"
dildo,"	dildoes
"
biogeography,"	biogeographies
"
misstate,"	misstates
"
poetess,"	poetesses
"
imperturbableness,"	imperturbablenesses
"
impoliteness,"	impolitenesses
"
hatfield,"	hatfields
"
infidelity,"	infidelities
"
angwantibo,"	angwantiboes
"
infesting,"	infestings
"
gynogenesis,"	gynogeneses
"
reflectiveness,"	reflectivenesses
"
heedlessness,"	heedlessnesses
"
sanguification,"	sanguifications
"
lividity,"	lividities
"
mommy,"	mommies
"
corruptness,"	corruptnesses
"
scullery,"	sculleries
"
regency,"	regencies
"
touchiness,"	touchinesses
"
blotch,"	blotches
"
cryosurgery,"	cryosurgeries
"
outrage,"	outrages
"
tastelessness,"	tastelessnesses
"
barbarousness,"	barbarousnesses
"
tallgrass,"	tallgrasses
"
fervour,"	fervours
"
icebox,"	iceboxes
"
cavalry,"	cavalries
"
schaffneria,"	schaffnerias
"
jerry,"	jerries
"
oleaginousness,"	oleaginousnesses
"
regale,"	regales
"
bandung,"	bandungs
"
irresistibility,"	irresistibilities
"
brittleness,"	brittlenesses
"
entozoon,"	entozoa
"
palsy,"	palsies
"
proboscis,"	probosces
"
hemosiderosis,"	hemosideroses
"
loire,"	loires
"
tweedy,"	tweedies
"
hydrogel,"	hydrogels
"
ionophoresis,"	ionophoreses
"
obviousness,"	obviousnesses
"
kenya,"	kenyas
"
arouser,"	arousers
"
identify,"	identifies
"
notch,"	notches
"
abiogenesis,"	abiogeneses
"
dependability,"	dependabilities
"
blastema,"	blastemas
"
spiciness,"	spicinesses
"
semifluidity,"	semifluidities
"
buggery,"	buggeries
"
newness,"	newnesses
"
abhor,"	abhors
"
dardanus,"	dardanuss
"
executability,"	executabilities
"
micrometry,"	micrometries
"
anxiousness,"	anxiousnesses
"
encephalography,"	encephalographies
"
gormless,"	gormlesses
"
ruskin,"	ruskins
"
purty,"	purties
"
cutlass,"	cutlasses
"
deathless,"	deathlesses
"
benzoin,"	benzoins
"
tactility,"	tactilities
"
strenuosity,"	strenuosities
"
cockamamy,"	cockamamies
"
ignominiousness,"	ignominiousnesses
"
relevancy,"	relevancies
"
lagopus,"	lagopera
"
anthozoa,"	anthozoas
"
dulcify,"	dulcifies
"
shem,"	shems
"
electrodeposition,"	electrodepositions
"
assimilatory,"	assimilatories
"
sinlessness,"	sinlessnesses
"
bubo,"	buboes
"
roundness,"	roundnesses
"
polypectomy,"	polypectomies
"
idolatress,"	idolatresses
"
proctology,"	proctologies
"
trackless,"	tracklesses
"
definiteness,"	definitenesses
"
retch,"	retches
"
housman,"	housmen
"
marty,"	marties
"
hypnogenesis,"	hypnogeneses
"
lysogenicity,"	lysogenicities
"
iwo,"	iwoes
"
perfunctory,"	perfunctories
"
hydnocarpus,"	hydnocarpuss
"
picardy,"	picardies
"
sinistrality,"	sinistralities
"
palaeogeography,"	palaeogeographies
"
dowery,"	doweries
"
demonism,"	demonisms
"
helpfulness,"	helpfulnesses
"
scrubbiness,"	scrubbinesses
"
fulsomeness,"	fulsomenesses
"
rediscovery,"	rediscoveries
"
nonsensicality,"	nonsensicalities
"
distillery,"	distilleries
"
rickety,"	ricketies
"
obstinacy,"	obstinacies
"
seaweed,"	seaweeds
"
malignancy,"	malignancies
"
avidity,"	avidities
"
loudness,"	loudnesses
"
materiality,"	materialities
"
justness,"	justnesses
"
energy,"	energies
"
cress,"	cresses
"
windlass,"	windlasses
"
container,"	containers
"
drop,"	drops
"
dovyalis,"	dovyaliss
"
constitution,"	constitutions
"
gelidity,"	gelidities
"
androgenesis,"	androgeneses
"
obsess,"	obsesses
"
congruence,"	congruences
"
furunculosis,"	furunculoses
"
postman,"	postmen
"
mutuality,"	mutualities
"
flammability,"	flammabilities
"
jagganath,"	jagganaths
"
regularity,"	regularities
"
derogatory,"	derogatories
"
beery,"	beeries
"
lambency,"	lambencies
"
zilch,"	zilches
"
deskman,"	deskmen
"
screams,"	screamss
